Number of items, Merges, Comparisons, Array Accesses, aprx runtime (s)
1,0,0,0
2,1,1,2
3,2,3,5
4,3,5,8
5,4,6,12
10,9,22,34
15,14,43,59
20,19,64,88
25,24,91,118
50,49,223,286
75,74,377,472
100,99,532,672
200,199,1288,1544
300,299,2108,2488
400,399,2977,3488
500,499,3832,4488
600,599,4771,5576
700,699,5735,6676
800,799,6713,7776
900,899,7686,8876
1000,999,8731,9976
2000,1999,19369,21952
3000,2999,30857,34904
4000,3999,42855,47904
5000,4999,55185,61808
10000,9999,120370,133616
50000,49999,718667,784464
100000,99999,1536309,1668928,6
500000,499999,7627340,9475712,4
1000000,999999,15361121,19951424,5
